CALLER ID,AGENT,DATE,TIME,TOPIC,ANSWERED,RESOLVED,SPEED OF ANSWER IN SECOND,AVG. TALK DURATION,SATISFACTION RATE
C00001,Daniel Moore,3/12/2025,6:19:27,Order Tracking,N,N,286,0,2.1
C00002,Daniel Moore,2/7/2025,2:39:59,Payment Failure,Y,N,50,22.52,4.9
C00003,Sophia Taylor,4/22/2025,0:47:08,Billing Issue,Y,N,20,4.32,3.9
C00004,James Anderson,1/9/2025,14:28:22,Subscription Renewal,Y,Y,117,2.34,4
C00005,Daniel Moore,3/23/2025,20:40:23,Cancellation Request,N,N,216,0,2.4
C00006,Jessica Miller,2/10/2025,0:40:01,Subscription Renewal,Y,Y,21,8.7,4.8
C00007,Sarah Johnson,6/7/2025,5:08:39,Account Access,N,N,256,0,1.3
C00008,Michael Brown,4/13/2025,11:49:12,Service Complaint,Y,N,68,22.76,4.5
C00009,Emily Davis,1/18/2025,15:52:26,Order Tracking,N,N,129,0,1.4
C00010,David Wilson,2/13/2025,13:02:40,Cancellation Request,Y,Y,116,20.21,2.7
C00011,Emily Davis,3/2/2025,0:18:58,Billing Issue,N,N,208,0,2.8
C00012,Michael Brown,2/4/2025,2:59:51,Subscription Renewal,N,N,209,0,2.9
C00013,James Anderson,4/4/2025,18:11:15,Service Complaint,N,N,231,0,2.9
C00014,Sarah Johnson,5/17/2025,10:37:39,Technical Support,N,N,172,0,3
C00015,James Anderson,4/30/2025,23:23:03,Payment Failure,N,N,208,0,2.3
C00016,Daniel Moore,3/1/2025,15:27:04,Billing Issue,N,N,159,0,1.1
C00017,Sophia Taylor,4/20/2025,17:32:29,Account Access,Y,N,112,14.27,2.8
C00018,John Smith,3/24/2025,22:14:43,Product Inquiry,N,N,213,0,1.2
C00019,Emily Davis,5/11/2025,8:59:28,Account Access,Y,Y,76,4.44,4.6
C00020,Daniel Moore,6/10/2025,6:30:12,Refund Request,Y,Y,49,13.57,2.6
C00021,Michael Brown,4/9/2025,7:11:16,Subscription Renewal,Y,Y,71,14.16,3.8
C00022,Jessica Miller,2/4/2025,20:23:55,Product Inquiry,N,N,170,0,2.6
C00023,John Smith,5/25/2025,3:58:59,Service Complaint,Y,N,84,3.54,4.7
C00024,Daniel Moore,1/28/2025,20:24:24,Order Tracking,Y,N,29,23.96,4
C00025,David Wilson,1/26/2025,19:04:58,Subscription Renewal,Y,N,22,9.39,2.8
C00026,John Smith,1/13/2025,12:25:06,Service Complaint,Y,N,63,13.31,3.7
C00027,Michael Brown,5/27/2025,15:48:31,Subscription Renewal,N,N,218,0,1.9
C00028,Daniel Moore,2/8/2025,9:04:54,Technical Support,N,N,123,0,1.8
C00029,Jessica Miller,1/5/2025,15:17:01,Payment Failure,Y,N,43,7.97,3.9
C00030,David Wilson,2/12/2025,22:25:21,Order Tracking,Y,N,104,23.41,3.3
C00031,Sarah Johnson,4/4/2025,1:07:27,Cancellation Request,Y,N,10,17.08,4.2
C00032,Daniel Moore,2/17/2025,8:38:06,Refund Request,Y,Y,74,7.71,3.3
C00033,David Wilson,6/22/2025,16:25:53,Service Complaint,N,N,123,0,2.9
C00034,Sarah Johnson,4/5/2025,13:52:36,Payment Failure,Y,N,21,5.69,3.3
C00035,Olivia Thomas,5/20/2025,19:20:24,Technical Support,N,N,222,0,2.1
C00036,David Wilson,2/7/2025,2:07:35,Subscription Renewal,N,N,223,0,2.6
C00037,David Wilson,2/9/2025,17:22:58,Payment Failure,N,N,274,0,1.2
C00038,David Wilson,1/9/2025,16:02:20,Payment Failure,Y,Y,21,20.23,4.1
C00039,Michael Brown,4/7/2025,7:44:35,Cancellation Request,Y,N,38,3.33,2.9
C00040,Sophia Taylor,4/24/2025,6:39:02,Cancellation Request,N,N,126,0,1.5
C00041,John Smith,1/24/2025,18:33:37,Account Access,N,N,165,0,1.6
C00042,John Smith,5/17/2025,20:47:29,Refund Request,N,N,135,0,2.1
C00043,John Smith,5/15/2025,5:21:41,Service Complaint,Y,N,51,5.85,3.8
C00044,John Smith,6/30/2025,20:30:40,Billing Issue,N,N,298,0,1.8
C00045,David Wilson,2/7/2025,15:36:27,Order Tracking,Y,Y,43,16.24,3.5
C00046,Jessica Miller,1/22/2025,0:08:32,Payment Failure,N,N,276,0,2.1
C00047,Sophia Taylor,1/18/2025,22:29:56,Refund Request,Y,N,116,4.15,4.1
C00048,Michael Brown,3/1/2025,17:29:00,Technical Support,N,N,232,0,2.7
C00049,John Smith,4/22/2025,17:25:25,Subscription Renewal,N,N,215,0,1.9
C00050,Daniel Moore,1/6/2025,15:01:47,Service Complaint,Y,N,112,6.42,3.2
C00051,Sarah Johnson,5/31/2025,12:46:50,Refund Request,Y,N,86,3.55,3.4
C00052,John Smith,6/28/2025,20:33:44,Order Tracking,N,N,196,0,1.4
C00053,Jessica Miller,4/22/2025,16:52:47,Service Complaint,N,N,126,0,2.7
C00054,Olivia Thomas,1/15/2025,5:41:16,Refund Request,Y,N,55,20.74,4.8
C00055,Sarah Johnson,3/30/2025,21:33:17,Order Tracking,Y,Y,14,4.41,4.6
C00056,Michael Brown,4/20/2025,12:46:27,Technical Support,Y,N,90,2.66,3.2
C00057,Jessica Miller,6/29/2025,5:32:33,Account Access,N,N,128,0,1.6
C00058,James Anderson,2/7/2025,7:14:35,Product Inquiry,N,N,282,0,2.2
C00059,Michael Brown,1/1/2025,17:40:25,Refund Request,N,N,235,0,2.1
C00060,Jessica Miller,1/24/2025,3:17:37,Refund Request,N,N,155,0,2.8
C00061,David Wilson,3/1/2025,8:34:33,Subscription Renewal,N,N,230,0,1.4
C00062,Sophia Taylor,6/14/2025,13:04:42,Order Tracking,N,N,247,0,1.4
C00063,Michael Brown,1/1/2025,5:06:39,Cancellation Request,N,N,278,0,1.7
C00064,Michael Brown,4/26/2025,2:54:16,Refund Request,N,N,298,0,1.2
C00065,James Anderson,1/11/2025,19:50:32,Payment Failure,Y,Y,20,2.09,3.7
C00066,Michael Brown,5/12/2025,9:48:23,Account Access,N,N,199,0,1.2
C00067,Sophia Taylor,5/26/2025,16:34:54,Payment Failure,N,N,234,0,1.1
C00068,John Smith,6/19/2025,2:38:17,Payment Failure,N,N,180,0,1.6
C00069,Sophia Taylor,6/15/2025,3:53:40,Account Access,Y,Y,109,16.89,3.4
C00070,David Wilson,4/2/2025,5:59:43,Billing Issue,Y,N,30,21.88,3
C00071,Sarah Johnson,5/26/2025,16:31:21,Subscription Renewal,Y,N,105,12.49,4
C00072,Michael Brown,1/29/2025,4:07:51,Payment Failure,Y,N,36,19.48,3.6
C00073,Sophia Taylor,4/15/2025,15:46:50,Cancellation Request,Y,Y,27,18.89,4.6
C00074,Emily Davis,3/16/2025,1:23:57,Product Inquiry,N,N,141,0,1.9
C00075,James Anderson,2/6/2025,2:57:05,Product Inquiry,N,N,138,0,1.7
C00076,David Wilson,2/6/2025,13:51:15,Cancellation Request,Y,Y,55,20.24,4.6
C00077,Daniel Moore,5/5/2025,22:59:39,Refund Request,N,N,155,0,1.9
C00078,John Smith,3/3/2025,8:28:37,Service Complaint,N,N,120,0,2.1
C00079,John Smith,1/25/2025,17:50:26,Billing Issue,N,N,240,0,2.9
C00080,Emily Davis,1/8/2025,11:25:01,Billing Issue,N,N,186,0,2.5
C00081,Emily Davis,5/11/2025,8:20:44,Order Tracking,Y,N,48,9.32,3.9
C00082,David Wilson,2/27/2025,23:29:21,Order Tracking,Y,Y,15,20.49,4.3
C00083,Emily Davis,1/15/2025,10:01:18,Product Inquiry,Y,Y,12,16.17,3.2
C00084,Daniel Moore,3/21/2025,9:30:11,Billing Issue,Y,Y,95,13.2,3.4
C00085,David Wilson,1/6/2025,2:55:09,Order Tracking,N,N,198,0,1.1
C00086,Daniel Moore,1/24/2025,12:23:59,Subscription Renewal,N,N,256,0,1
C00087,John Smith,2/26/2025,8:17:31,Payment Failure,N,N,166,0,1.9
C00088,Emily Davis,4/1/2025,18:50:35,Billing Issue,N,N,253,0,2.6
C00089,Olivia Thomas,3/2/2025,5:09:06,Cancellation Request,Y,N,56,13.55,3.9
C00090,Jessica Miller,5/26/2025,1:25:23,Payment Failure,Y,Y,29,21.56,3.8
C00091,Sophia Taylor,6/21/2025,14:29:38,Refund Request,N,N,216,0,2.2
C00092,Jessica Miller,1/17/2025,8:35:35,Refund Request,Y,Y,52,10.25,4.4
C00093,Sarah Johnson,4/14/2025,1:48:33,Cancellation Request,Y,Y,76,21.72,3.6
C00094,Sophia Taylor,6/11/2025,18:07:27,Payment Failure,N,N,143,0,1.7
C00095,John Smith,4/5/2025,20:20:51,Payment Failure,Y,Y,71,24.66,4.8
C00096,Sophia Taylor,4/23/2025,2:48:29,Subscription Renewal,Y,Y,27,19.77,3.6
C00097,Michael Brown,1/19/2025,6:35:36,Refund Request,N,N,153,0,2.3
C00098,Daniel Moore,5/12/2025,0:15:05,Product Inquiry,N,N,292,0,1
C00099,Sophia Taylor,3/22/2025,6:21:25,Refund Request,N,N,197,0,2.5
C00100,Sophia Taylor,5/7/2025,10:22:07,Refund Request,Y,Y,111,10.12,3.1
C00101,Daniel Moore,5/15/2025,10:19:53,Service Complaint,Y,N,114,12.35,3.7
C00102,Jessica Miller,4/4/2025,22:35:28,Payment Failure,Y,N,77,6.63,4.5
C00103,Daniel Moore,2/4/2025,17:21:22,Cancellation Request,Y,N,7,3.64,4.8
C00104,John Smith,4/2/2025,20:05:30,Subscription Renewal,Y,Y,19,14.72,4.2
C00105,Jessica Miller,6/8/2025,14:06:38,Order Tracking,Y,N,68,17.79,4.4
C00106,Michael Brown,6/25/2025,5:32:22,Cancellation Request,Y,Y,86,19.99,4.2
C00107,Jessica Miller,4/12/2025,17:26:11,Account Access,Y,N,41,7.17,3.8
C00108,Sarah Johnson,5/9/2025,10:39:38,Account Access,Y,Y,30,7.41,4.7
C00109,Jessica Miller,1/16/2025,16:15:51,Refund Request,Y,Y,110,11.69,4.8
C00110,Daniel Moore,2/28/2025,20:59:36,Billing Issue,N,N,298,0,2.4
C00111,Michael Brown,2/2/2025,22:52:48,Account Access,N,N,151,0,1.8
C00112,Emily Davis,5/10/2025,23:21:44,Service Complaint,N,N,261,0,1.4
C00113,Sophia Taylor,2/7/2025,9:26:10,Technical Support,N,N,221,0,2.8
C00114,Sophia Taylor,5/22/2025,15:24:46,Account Access,Y,Y,43,9.23,4.1
C00115,Michael Brown,3/1/2025,11:45:12,Payment Failure,N,N,126,0,1.8
C00116,James Anderson,4/8/2025,10:49:52,Refund Request,N,N,124,0,2.8
C00117,Daniel Moore,4/18/2025,14:55:36,Subscription Renewal,Y,N,106,12.51,3.6
C00118,Jessica Miller,2/9/2025,7:56:21,Service Complaint,Y,N,116,20.38,4.4
C00119,David Wilson,5/13/2025,0:51:23,Account Access,N,N,212,0,2.1
C00120,Daniel Moore,5/14/2025,8:31:47,Refund Request,N,N,220,0,1.2
C00121,Olivia Thomas,5/7/2025,14:13:01,Product Inquiry,N,N,275,0,1.8
C00122,John Smith,6/15/2025,23:28:07,Product Inquiry,Y,Y,98,16.96,4.6
C00123,Sophia Taylor,1/15/2025,1:54:35,Refund Request,N,N,194,0,2.7
C00124,James Anderson,6/9/2025,18:08:20,Order Tracking,N,N,215,0,2
C00125,Daniel Moore,3/29/2025,23:37:50,Order Tracking,N,N,157,0,1.4
C00126,Emily Davis,6/15/2025,1:50:01,Subscription Renewal,Y,N,118,3.66,2.6
C00127,Michael Brown,4/18/2025,17:06:08,Account Access,N,N,299,0,2.6
